TOPDISC,,"%s, we have the worst disciplinary record in the division. You must sort this out as a matter of urgency.",,,,,,,,,,,,,,,,,,,,,,,
TOPDISC10,,"%s, the board strongly advise you to calm things down on the pitch, or suspensions will become commonplace.",,,,,,,,,,,,,,,,,,,,,,,
TOPDISC5,,"%s, the chairman, in association with the league headquarters, urges you to take measures to improve the clubs poor disciplinary record.",,,,,,,,,,,,,,,,,,,,,,,
WARNBIZARRETACTIC,,The board and fans are furious with you for playing such a ridiculous tactic. The chairman has informed you that if you ever pull a stunt like that again you will be sacked instantly.,,,,,,,,,,,,,,,,,,,,,,,
WARNNOCOACH,,The board wish to express their concern over the lack of a coach and suggest you to employ one soon.,,,,,,,,,,,,,,,,,,,,,,,
WARNNOMONEY,,The board are concerned with the club's financial situation. Unless you can turn the situation around they might be forced to intervene and sell players.,,,,,,,,,,,,,,,,,,,,,,,
WARNNOPHYSIO,,The board are worried that there is no physiotherapist on the books and suggest that you employ one quickly.,,,,,,,,,,,,,,,,,,,,,,,
WARNPLAYERFITESSLOW,,%s is very tired and would benefit from being rested from the next match.,,,,,,,,,,,,,,,,,,,,,,,
WARNSQUADSMALL,,The board of directors feel the size of the squad needs increasing as you could have problems if one or two players get injured.,,,,,,,,,,,,,,,,,,,,,,,
WARNSQUADSMALLINPOSN,,The board strongly advise you to buy a %s as an injury in this position could cause real problems.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Role/Position/Status,,,,,,,,,,,,,,,,,,,,,,,,
COACH,,Coach,,,,,,,,,,,,,,,,,,,,,,,
PHYSIO,,Physio,,,,,,,,,,,,,,,,,,,,,,,
SCOUT,,Scout,,,,,,,,,,,,,,,,,,,,,,,
YOUTHCOACH,,Youth Coach,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GOALKEEPER,,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,
DEFENDER,,Defender,,,,,,,,,,,,,,,,,,,,,,,
MIDFIELDER,,Midfielder,,,,,,,,,,,,,,,,,,,,,,,
ATTACKER,,Attacker,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GOALKEEPERABBR,Single letter abbrevations of the team positions,G,,,,,,,,,,,,,,,,,,,,,,,
DEFENDERABBR,,D,,,,,,,,,,,,,,,,,,,,,,,
MIDFIELDERABBR,,M,,,,,,,,,,,,,,,,,,,,,,,
ATTACKERABBR,,A,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
GOALKEEPERLONGABBR,3 letter abbreviations of the team positions,Gk,,,,,,,,,,,,,,,,,,,,,,,
DEFENDERLONGABBR,,Def,,,,,,,,,,,,,,,,,,,,,,,
MIDFIELDERLONGABBR,,Mid,,,,,,,,,,,,,,,,,,,,,,,
ATTACKERLONGABBR,,Atk,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Manager left,,,,,,,,,,,,,,,,,,,,,,,,
MANLEFT1,Messages about managers leaving a club,%s have sacked %s as their manager.,,,,,,,,,,,,,,,,,,,,,,,
MANLEFT2,,%s has resigned as %s's manager.,,,,,,,,,,,,,,,,,,,,,,,
MANLEFT3,,%s has been released as manager of %s.,,,,,,,,,,,,,,,,,,,,,,,
MANLEFT4,,By mutual consent %s has stepped down as manager of %s.,,,,,,,,,,,,,,,,,,,,,,,
MANLEFT5,,%s has stepped down as manager of %s.,,,,,,,,,,,,,,,,,,,,,,,
MANLEFT6,,%s has been sacked as manager of %s after a boardroom upheaval.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Accounts page row headings,,,,,,,,,,,,,,,,,,,,,,,,
BANKINTEREST,These are shown on a breakdown of the club finances,Bank Interest,,,,,,,,,,,,,,,,,,,,,,,
BUILDINGCOSTS,,Building work,,,,,,,,,,,,,,,,,,,,,,,
EMPLOYEEWAGES,,Employee Wages,,,,,,,,,,,,,,,,,,,,,,,
EXPENDITURE,Abbreviation of 'expenditure',Exp(£'s),,,,,,,,,,,,,,,,,,,,,,,
GATERECIEPTS,,Gate Receipts,,,,,,,,,,,,,,,,,,,,,,,
GENERALEXPEND,General expenditure' shortened,Gen Expend,,,,,,,,,,,,,,,,,,,,,,,
GENERALEXPENDITURE,,General Expenditure,,,,,,,,,,,,,,,,,,,,,,,
GENERALWAGE,,General Wages,,,,,,,,,,,,,,,,,,,,,,,
GENERALWAGES,,General Wages,,,,,,,,,,,,,,,,,,,,,,,
INCOME,Abbreviation of 'income',Inc(£'s),,,,,,,,,,,,,,,,,,,,,,,
LOANPAID,,Loan Repayments,,,,,,,,,,,,,,,,,,,,,,,
LOANRECEIVED,,Loan Income,,,,,,,,,,,,,,,,,,,,,,,
LOANREPAY,,Loan Payments,,,,,,,,,,,,,,,,,,,,,,,
LOSS,,Loss,,,,,,,,,,,,,,,,,,,,,,,
MANAGERSWAGES,,Manager Wages,,,,,,,,,,,,,,,,,,,,,,,
MERCHANDISE,,Merchandise,,,,,,,,,,,,,,,,,,,,,,,
MERCHANDISEINCOME,,Merchandising Income,,,,,,,,,,,,,,,,,,,,,,,
MIDGATERECIEPTS,,MidWk Gate Rec,,,,,,,,,,,,,,,,,,,,,,,
PLAYERWAGES,,Player Wages,,,,,,,,,,,,,,,,,,,,,,,
PROFIT,,Profit,,,,,,,,,,,,,,,,,,,,,,,
RUNNINGCOSTS,,Running Costs,,,,,,,,,,,,,,,,,,,,,,,
SECURITY,,Security Charges,,,,,,,,,,,,,,,,,,,,,,,
SECURITYCOSTS,,Security,,,,,,,,,,,,,,,,,,,,,,,
SPONSORSHIP,,Sponsor,,,,,,,,,,,,,,,,,,,,,,,
SPONSORSHIPINCOME,,Sponsorship/Advertising,,,,,,,,,,,,,,,,,,,,,,,
TELEVISION,,Broadcast Rights,,,,,,,,,,,,,,,,,,,,,,,
TELEVISIONINCOME,,Television Income,,,,,,,,,,,,,,,,,,,,,,,
TOTALS,,Totals,,,,,,,,,,,,,,,,,,,,,,,
TRANSFEREXPENDITURE,,Transfer Expenditure,,,,,,,,,,,,,,,,,,,,,,,
TRANSFERINCOME,,Transfer Income,,,,,,,,,,,,,,,,,,,,,,,
YOUTHWAGES,,Youth Wages,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Loan messages,,,,,,,,,,,,,,,,,,,,,,,,
ACCEPTBIDSELLON,,Do you want to accept the bid of %s with %d%% of the fee if they sell him at a later date by %s?,,,,,,,,,,,,,,,,,,,,,,,
PLAYERLEAVINGAFTERLOANNOCLUB,,%s has completed his loan. His club are not prepared to extend his loan period any further.,,,,,,,,,,,,,,,,,,,,,,,
PLAYERLEAVINGAFTERLOANNOCLUBNEWS,,%s's loan period has expired and he has returned to his club.,,,,,,,,,,,,,,,,,,,,,,,
ACCEPTBID,,Do you want to accept the bid of %s by %s for %s?,,,,,,,,,,,,,,,,,,,,,,,
RECEIVELOANBID,,"%s, %s want to take %s on loan for a %d week period.",,,,,,,,,,,,,,,,,,,,,,,
REFUSETOLOAN,,%s will not release %s on loan.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Months,,,,,,,,,,,,,,,,,,,,,,,,
JAN,3 letter abbreviations of month names,Jan,,,,,,,,,,,,,,,,,,,,,,,
FEB,,Feb,,,,,,,,,,,,,,,,,,,,,,,
MAR,,Mar,,,,,,,,,,,,,,,,,,,,,,,
APR,,Apr,,,,,,,,,,,,,,,,,,,,,,,
MAY,,May,,,,,,,,,,,,,,,,,,,,,,,
JUN,,Jun,,,,,,,,,,,,,,,,,,,,,,,
JUL,,Jul,,,,,,,,,,,,,,,,,,,,,,,
AUG,,Aug,,,,,,,,,,,,,,,,,,,,,,,
SEP,,Sep,,,,,,,,,,,,,,,,,,,,,,,
OCT,,Oct,,,,,,,,,,,,,,,,,,,,,,,
NOV,,Nov,,,,,,,,,,,,,,,,,,,,,,,
DEC,,Dec,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Stat names,,,,,,,,,,,,,,,,,,,,,,,,
APPEARANCES,Statistic names for viewing a persons info,App,,,,,,,,,,,,,,,,,,,,,,,
GOALS,,Goals,,,,,,,,,,,,,,,,,,,,,,,
SEASONS,,Seasons,,,,,,,,,,,,,,,,,,,,,,,
LASTSEASON,,Last Season,,,,,,,,,,,,,,,,,,,,,,,
CUP,,Cup,,,,,,,,,,,,,,,,,,,,,,,
CLUBS,,Club,,,,,,,,,,,,,,,,,,,,,,,
CAREER,,Career,,,,,,,,,,,,,,,,,,,,,,,
INTERNATIONAL,,International,,,,,,,,,,,,,,,,,,,,,,,
LASTCLUB,,Last Club,,,,,,,,,,,,,,,,,,,,,,,
SEASON,,Season,,,,,,,,,,,,,,,,,,,,,,,
NATIONALITY,,Nationality,,,,,,,,,,,,,,,,,,,,,,,
WEEKLYWAGE,,Weekly Wage,,,,,,,,,,,,,,,,,,,,,,,
NODATA,,N/A,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT,,Contract,,,,,,,,,,,,,,,,,,,,,,,
HANDLING,,Handling,,,,,,,,,,,,,,,,,,,,,,,
TACKLING,,Tackling,,,,,,,,,,,,,,,,,,,,,,,
PASSING,,Passing,,,,,,,,,,,,,,,,,,,,,,,
SHOOTING,,Shooting,,,,,,,,,,,,,,,,,,,,,,,
PACE,,Pace,,,,,,,,,,,,,,,,,,,,,,,
SKILL,,Overall Skill,,,,,,,,,,,,,,,,,,,,,,,
TEMPER,Abbreviation of 'temprament',Temp,,,,,,,,,,,,,,,,,,,,,,,
FITNESS,,Fitness,,,,,,,,,,,,,,,,,,,,,,,
FORM,,Form,,,,,,,,,,,,,,,,,,,,,,,
MORALE,,Morale,,,,,,,,,,,,,,,,,,,,,,,
DISCIPLINARYPOINTS,,Disc Pts,,,,,,,,,,,,,,,,,,,,,,,
MINVALUE,Abbreviations for 'Minimum' and 'Maximum',Min Value,,,,,,,,,,,,,,,,,,,,,,,
MAXVALUE,,Max Value,,,,,,,,,,,,,,,,,,,,,,,
MINAGE,,Min Age,,,,,,,,,,,,,,,,,,,,,,,
MAXAGE,,Max Age,,,,,,,,,,,,,,,,,,,,,,,
MINSKILL,,Min Skill,,,,,,,,,,,,,,,,,,,,,,,
MAXSKILL,,Max Skill,,,,,,,,,,,,,,,,,,,,,,,
AGE,,Age,,,,,,,,,,,,,,,,,,,,,,,
CLUB,,Club,,,,,,,,,,,,,,,,,,,,,,,
CLUBVALUATION,,Value,,,,,,,,,,,,,,,,,,,,,,,
SKILL_SINGLE,,Skill,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Playing style / Marking style,,,,,,,,,,,,,,,,,,,,,,,,
PLAYSTYLE1,Descriptions of styles of play / marking,Attacking,,,,,,,,,,,,,,,,,,,,,,,
PLAYSTYLE2,,Defensive,,,,,,,,,,,,,,,,,,,,,,,
PLAYSTYLE3,,Normal,,,,,,,,,,,,,,,,,,,,,,,
PLAYSTYLE4,,Passing,,,,,,,,,,,,,,,,,,,,,,,
PLAYSTYLE5,,Running,,,,,,,,,,,,,,,,,,,,,,,
PLAYSTYLE6,,Physical,,,,,,,,,,,,,,,,,,,,,,,
PLAYSTYLE7,,Formation,,,,,,,,,,,,,,,,,,,,,,,
PLAYSTYLE8,,Short Ball,,,,,,,,,,,,,,,,,,,,,,,
PLAYSTYLE9,,Long Ball,,,,,,,,,,,,,,,,,,,,,,,
PLAYSTYLE10,,Zonal,,,,,,,,,,,,,,,,,,,,,,,
MARKING1,,Tight,,,,,,,,,,,,,,,,,,,,,,,
MARKING2,,Loose,,,,,,,,,,,,,,,,,,,,,,,
MARKING3,,Zonal,,,,,,,,,,,,,,,,,,,,,,,
MARKING4,,Free,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Club Records,,,,,,,,,,,,,,,,,,,,,,,,
STADIUM,These are row headings for club information,Stadium,,,,,,,,,,,,,,,,,,,,,,,
CAPACITY,,Capacity,,,,,,,,,,,,,,,,,,,,,,,
AVATTEND,,Average Attendance,,,,,,,,,,,,,,,,,,,,,,,
YEARFOUNDED,,Year Founded,,,,,,,,,,,,,,,,,,,,,,,
RECORDSALE,,Record Sale,,,,,,,,,,,,,,,,,,,,,,,
RECORDBUY,,Record Signing,,,,,,,,,,,,,,,,,,,,,,,
RECORDAPPEARANCES,,Record Appearances,,,,,,,,,,,,,,,,,,,,,,,
RECORDCLUBGOALS,,Records Goals For Club,,,,,,,,,,,,,,,,,,,,,,,
RECORDSEASONGOALS,,Record Goals In A Season,,,,,,,,,,,,,,,,,,,,,,,
